page,pseudo,fbID,groupe,dateCréation,aimentPageMin,aimentPageMax,followersMin,followersMax,publications,partages,commentaires,likes,love,solidarité,haha,wow,tristesse,colère,interactions,videoNb,videoVues
"Journal L'Horizon, presse coopérative des Basques",-,#431723490293114,AMECQ,2014-01-30,696,749,738,785,1650,513,111,780,155,36,6,20,33,9,1663,0,0
Journal Le Pont de Palmarolle,JournalLePont,#1424551357783452,AMECQ,2014-02-10,?,?,?,?,171,1904,1005,2410,636,67,14,58,48,6,6148,0,0
Journal Le Saint Denisien,saint.denisien,#792898817437551,AMECQ,2014-02-17,?,?,?,?,46,61,12,93,10,12,3,2,15,0,208,0,0
mensuellemonde.com,mensuellemonde,#1414745668786649,Média sans but lucratif indépendant,2014-04-11,?,?,?,?,115,2,1,7,1,0,0,0,0,0,11,0,0
Monmontcalm,monmontcalm,#1420725994874424,Xtube,2014-06-13,3405,3689,3638,3966,567,874,315,2193,381,112,9,98,83,3,4068,3,955
"CHEF 99,9",CHEF99.ca,#1419523835002128,ARCQ,2014-06–24,?,?,?,?,3,9,0,7,1,0,0,0,0,0,17,0,0
Zone économie,zoneeconomie,#273070192878526,Radio-Canada,2014-07-01,95539,102947,108274,122084,1030,43418,53390,98443,8160,2009,5736,4320,2925,6967,225368,448,6017836
Courrier de Portneuf,courrierdeportneuf,#504448116367529,Média coopératif indépendant,2014-07-10,4399,4948,4675,5329,769,7991,1805,6631,949,351,296,392,1206,289,19910,0,0
La Gazette de la Mauricie,lagazettedelamauricie,#530765187024077,AMECQ,2014-07-21,?,?,?,?,319,540,332,1736,417,75,2,35,13,9,3159,7,969
Narcity Québec,NarcityQuebec,#271036236431606,Narcity,2014-08-19,390182,393546,398300,406605,7768,421184,1763361,755517,142985,8878,130703,41592,27734,56012,3347966,1197,22007863
Montbeillard En BREF,montbeillardenbref,#100042407152770,AMECQ,2014-09-06,?,?,?,?,30,39,12,44,7,0,0,0,0,0,102,0,0
Échos Montréal,EchosMontreal,#365501026942053,AMECQ,2014-09-11,111,121,139,151,15,1,0,14,2,0,0,0,0,0,17,0,0
Les Éditions des Trois Clochers - Journal Le Hublot,troisclochers,#338131219712573,AMECQ,2014-09-29,?,?,?,?,150,14,1,28,0,1,0,0,2,0,46,0,0
Journal l'Écho d'en Haut Inc.,journal.1983,#762169207176833,AMECQ,2014-10-08,1099,1170,1142,1224,84,518,40,215,26,1,0,1,1,0,802,0,0
Journal Le Nord,JournalLeNordStJerome,#153063064888197,Hebdo privé indépendant,2014-11-03,7025,9023,7448,9656,1350,11440,5253,11708,1856,622,507,1008,1268,815,34477,87,110299
Bulletin d'Aylmer,bulletinaylmer,#921232881238617,Hebdo privé indépendant,2014-11-06,6250,6764,6707,7302,273,2944,1574,3452,533,268,36,277,776,73,9933,2,3460
Mon Matane,nouvelles.chrmchoematane,#351524758377662,Arsenal Média,2014-11-21,5368,6005,5684,6299,2718,26143,11450,33167,4287,2922,1748,1895,4293,1822,87727,1,1573
GoRimouski.com,GoRimouski,#774231592664252,Néomédia,2015-01-13,488,574,509,592,1149,40,38,106,6,2,9,2,6,6,215,0,0
L'info de la Lièvre,infodelalievre,#718550011601570,In Médias,2015-03-04,?,?,?,?,538,7706,7449,10153,1254,233,225,357,646,526,28549,3,6773
